,name,gender,count,eligible,vowels,rem_count
435,Abagael,F,210,,1,0
436,Abagail,F,5682,,1,0
437,Abagaile,F,15,,0,0
438,Abagale,F,366,,1,0
439,Abagayle,F,346,,0,0
440,Abaigael,F,19,,0,0
441,Abaigail,F,10,,0,0
442,Abaigeal,F,330,,0,0
443,Aban,M,31,,3,0
444,Abanoub,M,157,,1,0
445,Abas,M,82,,3,0
446,Abasi,M,40,,2,0
447,Abass,M,91,,3,0
448,Abayomi,M,221,,0,0
449,Abb,M,96,,4,0
450,Abba,F,6,,3,0
451,Abba,M,46,,3,0
452,Abbaas,M,5,,2,0
453,Abbagail,F,846,,1,0
454,Abbagale,F,139,,1,0
455,Abbagayle,F,112,,0,0
456,Abbas,M,1350,,3,0
457,Abbe,F,1325,,3,0
458,Abbee,F,163,,2,0
459,Abbegail,F,246,,1,0
460,Abbegale,F,82,,1,0
461,Abbegayle,F,73,,0,0
462,Abbey,F,17206,,2,0
463,Abbey,M,35,,2,0
464,Abbeygail,F,66,,0,0
465,Abbeygale,F,22,,0,0
466,Abbi,F,2014,,3,0
467,Abbie,F,21584,,2,0
468,Abbie,M,325,,2,0
469,Abbiegail,F,243,,0,0
470,Abbiegale,F,58,,0,0
471,Abbiegayle,F,18,,-1,0
472,Abbigael,F,162,,1,0
473,Abbigail,F,11631,,1,0
474,Abbigail,M,5,,1,0
475,Abbigaile,F,91,,0,0
476,Abbigal,F,157,,2,0
477,Abbigale,F,2143,,1,0
478,Abbigayl,F,29,,1,0
479,Abbigayle,F,1311,,0,0
480,Abbilyn,F,12,,2,0
481,Abbot,M,28,,3,0
482,Abbott,F,24,,3,0
483,Abbott,M,1055,,3,0
484,Abbra,F,36,,3,0
485,Abbriella,F,31,,1,0
486,Abbrielle,F,83,,1,0
487,Abby,F,58242,,3,0
488,Abby,M,181,,3,0
489,Abbye,F,184,,2,0
490,Abbygael,F,70,,1,0
491,Abbygail,F,3423,,1,0
492,Abbygaile,F,47,,0,0
493,Abbygale,F,786,,1,0
494,Abbygayl,F,6,,1,0
495,Abbygayle,F,445,,0,0
496,Abbylynn,F,18,,2,0
497,Abcde,F,380,,3,0
498,Abd,M,17,,4,0
499,Abdala,M,6,,2,0
500,Abdalah,M,6,,2,0
501,Abdalla,M,309,,2,0
502,Abdallah,M,1317,,2,0
503,Abdalrahman,M,180,,1,0
504,Abdalrhman,M,5,,2,0
505,Abdel,M,629,,3,0
506,Abdelaziz,M,106,,1,0
507,Abdelhadi,M,5,,1,0
508,Abdelhamid,M,5,,1,0
509,Abdelkader,M,5,,1,0
510,Abdelkareem,M,10,,0,0
511,Abdelkarim,M,32,,1,0
512,Abdellah,M,24,,2,0
513,Abdelrahman,M,583,,1,0
514,Abdelrhman,M,6,,2,0
515,Abderrahman,M,5,,1,0
516,Abdi,F,10,,3,0
517,Abdi,M,277,,3,0
518,Abdia,F,5,,2,0
519,Abdias,M,650,,2,0
520,Abdiasis,M,6,,1,0
521,Abdiaziz,M,166,,1,0
522,Abdiel,M,4593,,2,0
523,Abdifatah,M,235,,1,0
524,Abdihafid,M,21,,1,0
525,Abdihakim,M,49,,1,0
526,Abdihamid,M,10,,1,0
527,Abdikadir,M,151,,1,0
528,Abdikarim,M,28,,1,0
529,Abdikhaliq,M,5,,1,0
530,Abdilahi,M,10,,1,0
531,Abdimalik,M,217,,1,0
532,Abdinajib,M,5,,1,0
533,Abdinasir,M,174,,1,0
534,Abdiqani,M,27,,1,0
535,Abdirahim,M,83,,1,0
536,Abdirahin,M,6,,1,0
537,Abdirahman,M,1759,,1,0
538,Abdirashid,M,40,,1,0
539,Abdirisaq,M,12,,1,0
540,Abdirizak,M,87,,1,0
541,Abdirizaq,M,5,,1,0
542,Abdisalam,M,5,,1,0
543,Abdisalan,M,11,,1,0
544,Abdisamad,M,23,,1,0
545,Abdishakur,M,69,,1,0
546,Abdiwahab,M,19,,1,0
547,Abdiwali,M,5,,1,0
548,Abdo,M,67,,3,0
549,Abdon,M,359,,3,0
550,Abdou,M,229,,2,0
551,Abdoul,M,453,,2,0
552,Abdoulaye,M,694,,-1,0
553,Abdoulaziz,M,10,,0,0
554,Abdoulie,M,120,,0,0
555,Abdourahman,M,11,,0,0
556,Abdourahmane,M,23,,-1,0
557,Abdrahman,M,15,,2,0
558,Abdrew,M,6,,3,0
559,Abdriel,M,14,,2,0
560,Abdu,M,32,,3,0
561,Abdual,M,17,,2,0
562,Abduallah,M,32,,1,0
563,Abduel,M,5,,2,0
564,Abdul,M,5846,,3,0
565,Abdula,M,39,,2,0
566,Abdulah,M,75,,2,0
567,Abdulahad,M,89,,1,0
568,Abdulahi,M,428,,1,0
569,Abdulai,M,83,,1,0
570,Abdulaye,M,5,,0,0
571,Abdulazeem,M,5,,0,0
572,Abdulazeez,M,30,,0,0
573,Abdulazim,M,5,,1,0
574,Abdulaziz,M,1326,,1,0
575,Abdulbari,M,5,,1,0
576,Abdulbasit,M,25,,1,0
577,Abdule,M,6,,2,0
578,Abdulelah,M,39,,1,0
579,Abdulghani,M,11,,1,0
580,Abdulhaadi,M,5,,0,0
581,Abdulhadi,M,136,,1,0
582,Abdulhakeem,M,45,,0,0
583,Abdulhakim,M,16,,1,0
584,Abdulhalim,M,5,,1,0
585,Abdulhameed,M,11,,0,0
586,Abdulhamid,M,76,,1,0
587,Abduljabbar,M,26,,1,0
588,Abduljaleel,M,5,,0,0
589,Abduljalil,M,5,,1,0
590,Abdulkadir,M,132,,1,0
591,Abdulkareem,M,191,,0,0
592,Abdulkarim,M,158,,1,0
593,Abdulkhaliq,M,18,,1,0
594,Abdull,M,5,,3,0
595,Abdulla,M,441,,2,0
596,Abdullah,M,7230,,2,0
597,Abdullahi,M,1429,,1,0
598,Abdullatif,M,42,,1,0
599,Abdulloh,M,60,,2,0
600,Abdulmajeed,M,36,,0,0
601,Abdulmajid,M,21,,1,0
602,Abdulmalek,M,5,,1,0
603,Abdulmalik,M,452,,1,0
604,Abdulmannan,M,5,,1,0
605,Abdulmohsen,M,21,,1,0
606,Abdulnasir,M,5,,1,0
607,Abdulqadir,M,45,,1,0
608,Abdulraheem,M,120,,0,0
609,Abdulrahim,M,99,,1,0
610,Abdulrahman,M,2267,,1,0
611,Abdulrazaq,M,5,,1,0
612,Abdulrehman,M,55,,1,0
613,Abdulrhman,M,28,,2,0
614,Abdulsalam,M,52,,1,0
615,Abdulsamad,M,27,,1,0
616,Abdulwadud,M,5,,1,0
617,Abdulwahab,M,152,,1,0
618,Abdulwahid,M,18,,1,0
619,Abdulwali,M,11,,1,0
620,Abdur,M,269,,3,0
621,Abdurahim,M,5,,1,0
622,Abdurahman,M,357,,1,0
623,Abdurahmon,M,5,,1,0
624,Abdurraheem,M,33,,0,0
625,Abdurrahim,M,27,,1,0
626,Abdurrahmaan,M,5,,0,0
